floor it	把油门踩到底	accelerate very hard in a car	slang	口
flounce off	气鼓鼓地走开	leave angrily with exaggerated swishing	phrasal	口
fluff out	把…抖蓬松	make something soft and full	phrasal	
fob off on	把…推卸给	unload something unwanted on somebody	phrasal	
fob off onto	把…硬塞给	pass unwanted thing onto somebody	phrasal	
fob off with	用…搪塞敷衍	stave off with something inferior	phrasal	
follow around	走到哪儿跟到哪儿	follow somebody everywhere	phrasal	
follow on from	随…而来；是…的结果	happen as a consequence of	phrasal	
fool around with	瞎摆弄；拿…胡搞	play or tinker carelessly with	phrasal	口
force down	强塞下去；击落	make swallow; shoot down	phrasal	
force on	强加于	impose something unwanted	phrasal	
force out of	把…排挤走	force somebody out of a job or place	phrasal	
force through	强行通过	push a law despite opposition	phrasal	时
force upon	强加于（正式语）	impose something formally	phrasal	正
front for	为…打掩护	act as cover for illicit operation	phrasal	俚
front onto	（建筑）面向	face onto a street	phrasal	英
front out	硬撑门面	put on a brave front	phrasal	口
front up	露面（敢作敢当）	arrive to take responsibility	phrasal	英,澳,口
fuck over	狠狠坑了一把	cheat or harm ruthlessly	slang	俚,粗
fuck with	招惹；瞎折腾	provoke or mess with	slang	俚,粗
fuss at	为…唠叨挑剔	complain or scold about	phrasal	美,口
gag for	眼巴巴想要	want something eagerly	phrasal	英,口
gear towards	专为…而设	be designed or aimed at	collocation	
geek out	为心头好疯狂	get obsessively excited	slang	美,口
get across to	（使）被…理解	convey meaning understandably to	phrasal	
get along in	（年纪）渐大	grow along in years	phrasal	
get away!	不会吧！胡说！	exclamation of disbelief	slang	口
get back into	重新迷上	resume enthusiastic interest in	phrasal	
get back together	重聚；破镜重圆	reunite as a couple or group	phrasal	
get back with	与（前任）复合	resume relationship with	phrasal	
get behind with	（款项）拖欠落后	fail to keep up with	phrasal	英
get by on	靠…勉强过活	survive on a small amount	phrasal	
get by with	靠…凑合过得	go on with the help of	phrasal	
get in with	与…混熟	become friendly with	phrasal	英,口
get it off with	与…搂搂抱抱	kiss and grope with	slang	英,俚
get it on with	与…滚床单	have sex with	slang	俚,粗
get it together	振作起来理清头绪	become focused and competent	idiom	口
get it up	（男子）勃起	achieve an erection	slang	俚,粗
get off on	对…特别来劲	get a kick out of	slang	俚
get off with	与…亲热；（因…）脱身	kiss or flirt with; escape penalty	phrasal	英,口
get off!	滚开！住手！	stop touching; go away	slang	口
get on at	唠唠叨叨数落	keep nagging	phrasal	英,口
get on to	觉察；搞清楚	become aware of	phrasal	
get out!	滚出去！	go away at once	slang	口
get over with	尽快把…了结	finish unpleasant thing quickly	phrasal	
get past	克服；熬过	move beyond a difficulty	phrasal	
get round (around) to	抽空着手做	eventually find time for	phrasal	英
get round (or around)	传开；四处活动	circulate; move about	phrasal	英
ghost away	悄无声息溜走	slip away unseen	phrasal	
gin up	凭空造出；煽起	invent or stir up	phrasal	美,口
give in to	向…让步屈服	yield to pressure	phrasal	
give it up for	为…鼓掌喝彩	applaud somebody enthusiastically	phrasal	口
give it up to	拱手交给	surrender to	phrasal	
give onto	（门/窗）通向	open onto	phrasal	英
give over to	专用于；沉溺于	devote wholly to	phrasal	
give over!	行了！别胡闹！	stop that nonsense	slang	英,口
give yourself up	自首	surrender to police	phrasal	法
give yourself up to	放纵于；醉心于	abandon yourself to	phrasal	
glom onto	紧抓不放；盯上	grip or latch onto	phrasal	美,口
gnaw away at	一点点侵蚀消耗	gradually erode or worry	phrasal	
go down as	作为…载入史册	be remembered as	phrasal	
go on about	喋喋不休地说	talk endlessly about	phrasal	口
