pen a letter	亲笔写（信）	write a letter, in formal or literary style	collocation	正
pen in	关进栏内；围困	shut in a pen; restrict movement	phrasal	
pencil in	暂记（时间）	arrange tentatively in the diary	phrasal	
penny for your thoughts	在想什么？说来听听	tell me what you are thinking	idiom	
phone back	回电话	call someone back by phone	phrasal	
phone round	挨个打电话	telephone several people in turn	phrasal	英
pick through	翻拣	search by sorting through items	phrasal	
pick up after	替（某人）收拾残局	tidy up after someone's mess	phrasal	口
pick yourself up	跌倒后爬起；重新振作	recover after a fall or setback	idiom	
picture paints a thousand words	一图胜千言	a picture expresses far more than words	idiom	
piddle around	磨磨蹭蹭，虚度光阴	waste time on trivial things	phrasal	口
piece of the puzzle	谜团一角；线索之一	one part of a complicated situation	collocation	
pitch for	争取（合同/支持）	try to win business or support	phrasal	
plant the seeds	播下（……的）种子	lay the basis for something to grow	collocation	
plant up	栽满，种上	plant an area thickly	phrasal	
planting the seeds	播下（……的）种子	lay the basis for something to grow	collocation	
plate up	装盘	serve food onto plates	phrasal	口
play off against	挑拨双方为己谋利	set rivals against each other for advantage	phrasal	
play upon	利用（恐惧、偏见）	exploit fears or prejudices	phrasal	
play your cards right	运筹得当	act skillfully to gain an advantage	idiom	
plop down	扑通坐下；砸（钱）	sit down heavily; pay out money	phrasal	口
plough ahead	强行推进，埋头苦干	press on with a plan despite difficulty	phrasal	英
plow into	猛撞；猛烈抨击	crash into; attack in words	phrasal	美
plow on	埋头苦干，坚持推进	keep working laboriously	phrasal	美
plow through	艰难穿过；硬着头皮读完	get through something long and boring	phrasal	
plump yourself down	一屁股坐下	drop heavily into a seat	phrasal	口
poke the bear	招惹强者，自找麻烦	provoke someone powerful who may retaliate	idiom	
poop out on	（体力）垮掉支撑不住	lose energy and fail, letting someone down	phrasal	口,美
pootle along	慢悠悠地前行	move along slowly and pleasantly	phrasal	英,口
pop down to	顺路去一下	go briefly to a place	phrasal	英,口
pour out one's heart	倾吐心声	reveal your deepest feelings	idiom	
prattle on	喋喋不休	talk at length in a silly way	phrasal	口
press forward with	坚定推进	advance a plan with determination	phrasal	
presume on	滥用（善意/权利）	take unfair advantage of kindness	phrasal	正
prey upon	捕食；侵害；萦绕心头	prey on; exploit; torment the mind	phrasal	
price in	提前计入价格	anticipate something in current prices	phrasal	财
prise out of	撬走；夺走	force out of someone's grasp	phrasal	英
pull a rabbit out of a hat	出奇制胜的妙招	produce an unexpected solution in a crisis	idiom	
pull for	支持，为……加油	root for someone	phrasal	口
pull to	轻轻拉上（门）	close a door by pulling it	phrasal	
pull yourself together	冷静下来，振作起来	regain your self-control and calm	phrasal	
pulling your leg	逗你玩，开玩笑	teasing someone playfully	idiom	口
pump (money) into	大量注资	pour large sums of money into	phrasal	财
