shedding light on	阐明，使更清楚	make something easier to understand	collocation	
shin up	手脚并用地爬上	climb up something using hands and feet	phrasal	口,英
shine through	（特质）自然流露	be clearly apparent despite hiding	phrasal	
ship has sailed	良机已逝，木已成舟	the opportunity is gone for good	idiom	
shit on	辱骂；坑害	treat or speak badly of someone	phrasal	粗,口
shoot back	反击；火速回应	return fire; reply quickly	phrasal	
shoot for the moon	敢于异想天开	aim for what seems impossible	idiom	
shoot for the stars	立志高远	aim very high in your goals	idiom	
shoot yourself in the foot	搬起石头砸自己脚	harm your own interests by mistake	idiom	
shop 'til you drop	血拼到腿软	shop until completely exhausted	idiom	口
shopping spree	疯狂扫货	a bout of indulgent buying	collocation	
shout from the mountaintops	大声公开宣扬	announce something loudly and publicly	idiom	
shout from the rooftops	公开大声宣告	proclaim widely for all to hear	idiom	
shout it from the mountaintops	昭告天下	shout something to the whole world	idiom	
shove around	欺负摆布	bully or intimidate someone	phrasal	
shove over	挪一挪让位置	move sideways to make space	phrasal	口
show over	领人参观（房子）	give a guided tour of a place	phrasal	英
show round	领着四处参观	show someone around a place	phrasal	英
shudder at	一想到…就打怵	react with horror or dread at	collocation	
shut out of	被排除在…之外	prevent from taking part in	phrasal	
shut yourself away	闭门独居，自我封闭	isolate yourself from others	phrasal	
sidle up to	悄悄侧身凑近	approach furtively beside someone	phrasal	
sign off on	签字批准	give official approval to	phrasal	
sign on with	签约加盟	join a team or firm by contract	phrasal	体
sing your heart out	纵情放歌	perform with full emotional abandon	idiom	
sit in for	临时代理（某人）	temporarily act as someone's substitute	phrasal	
skate around	绕开敏感问题	avoid dealing with something directly	phrasal	
skeletons in the closet	不可告人的丑事	embarrassing hidden secrets	idiom	美
skive off	偷懒翘班	avoid work or school by sneaking off	phrasal	口,英
sky's the limit	一切皆有可能	anything can be achieved	idiom	
slag off	尖刻损人	criticize or mock harshly	phrasal	俚,英
sleeping like a log	酣睡如死猪	sleeping very deeply and soundly	idiom	口
slice of the pie	应得利益的一份	a share of the available money	idiom	
slob about	懒散度日	waste time being lazy	phrasal	口
slob around	闲荡懒散度日	spend time idly doing nothing	phrasal	口
slow and steady wins the race	稳扎稳打终能胜	persistent steady effort wins in the end	idiom	
slow as a turtle	慢得像乌龟爬	moving extremely slowly	idiom	美
slug it out	死磕到底	fight or compete until a winner emerges	idiom	
smooth sailing	一帆风顺	progress without difficulties	idiom	
