land up in	最终到达,落到	arrive or end up in a place	phrasal	口,英
land with	落到…头上,由…决定	fall to someone as a responsibility	phrasal	
lapse into	逐渐陷入(某状态)	gradually slip into a worse state	phrasal	
lark around	疯闹嬉戏	play around goofily	phrasal	口,英
lark it up	尽情疯玩	have a rollicking good time	phrasal	口,英
lash into	猛烈抨击,痛斥	berate or attack fiercely	phrasal	口
lash out against	猛烈抨击	speak angrily against	phrasal	时
latch on to	紧抓不放;琢磨透	grasp or become fixated on	phrasal	
lay before	呈交给,摆到…面前	present for someone's consideration	phrasal	正
laze around	懒洋洋闲荡	spend time lazily	phrasal	口
lead into	通向;引出	flow or transition into	phrasal	
lead on to	引导至,继而带来	bring on toward something	phrasal	
lead with	以…打头;头条放	put first as the lead item	phrasal	时
leap in	立刻加入,插手	join in without hesitation	phrasal	
leap on	如获至宝般抓住	seize eagerly on	phrasal	口
leap out at	跃入眼帘,显而易见	catch one's attention at once	phrasal	
leap upon	扑向,猛攻	pounce upon	phrasal	
learn the ropes""	摸清门道	learn how a job is done	idiom	
leave on	让…一直开着	keep something switched on	phrasal	
lend an ear	倾听,侧耳听	listen attentively to someone	idiom	
let in on	让…知情,拉入伙	share a secret with someone	phrasal	
let up on	对…松劲,减弱	become less severe or intense	phrasal	
letting bygones be bygones	既往不咎	forgiving and forgetting past offenses	idiom	
letting the cat out of the bag	泄露秘密	revealing a secret inadvertently	idiom	
level at	瞄准;指向(指责)	aim or direct against	phrasal	
level with	跟…说实话	be frank and honest with	phrasal	口
lie ahead	摆在前方,有待经历	be still to come	collocation	
lie behind	是…背后的缘由	be the hidden reason for	collocation	
life is a rollercoaster	人生如过山车	life swings between highs and lows	idiom	口
light a fire under someone""	给…加把火,督促某人	urge someone to act with urgency	idiom	口
light at the end of the tunnel	隧道尽头的光	hope after prolonged hardship	idiom	
lights, camera, action	好戏即将开场	everything is ready to begin	idiom	诙
like a bat out of hell	飞奔一样	at extremely high speed	idiom	俚
like a kid in a candy store	兴奋得像个孩子	delighted to be somewhere	idiom	美
limber up for	为…热身	make supple or ready for	phrasal	
link up with	与…会合,搭上线	join or meet up with	phrasal	
listen out for	留心听	pay attention to hear a sound	phrasal	英
living the dream	活成了梦想样子	enjoy ideal life, often ironically	idiom	诙
load up on	大量补充,猛吃	consume or stock plenty of	phrasal	口
lock in on	死死锁定	focus intently on	phrasal	
lock into	使固定;锁定	commit or fasten firmly to	phrasal	
lock yourself away	把自己关起来,避世	seclude yourself from others	phrasal	
log into	登录	sign in to (an account or system)	phrasal	
look in on	顺道探望,看一下	visit briefly to check on	phrasal	口,英
look on as	把…看作	regard or consider as	phrasal	
look upon as	把…视为	look upon as being	phrasal	
loose on	放开…袭击,施于	set loose to attack or plague	phrasal	
lose out on	错失	miss an opportunity for	phrasal	
lose out to	败给,输给	be defeated or superseded by	phrasal	
lose your cool	沉不住气,失态	lose one's composure	idiom	口
lose your marbles	疯掉	go crazy	idiom	俚
losing your marbles	快要疯了	losing one's sanity	idiom	俚
loud and clear	听得一清二楚	perfectly heard and understood	idiom	
luck of the draw	全凭运气,随机际遇	chance beyond one's control	idiom	
luck of the irish""	出奇的好运	remarkably good fortune	idiom	
mail off	寄走	send by mail	phrasal	
make a grand entrance	隆重登场	arrive in a showy way	collocation	
make a house a home""	让房子变成家	make a dwelling warm and lived-in	idiom	
make it up to	补偿(某人)	compensate someone for a loss	idiom	
make some noise	大声造势,喝彩	be loudly enthusiastic	idiom	口
make towards	朝…走去	move in the direction of	phrasal	英
man down	有人倒下了	emergency cry: someone collapsed	idiom	军
manage down	精简,逐步裁减	reduce size or workforce gradually	phrasal	财
manage up	向上管理	work effectively with your boss	collocation	财
map onto	对应于,映射至	correspond or be matched to	collocation	
march to the beat of your own drum	特立独行,走自己的路	follow your own path	idiom	
mark down as	把…看作,判定	classify or regard as	phrasal	
mark out from	使与众不同	distinguish or set apart from	phrasal	
marry in	嫁入(本家族/本地)	marry into the husband's family	phrasal	英
marry out	外嫁(到其他家族/地方)	marry outside one's family or locality	phrasal	英
measure against	对照…衡量	judge by comparison with	collocation	
mess about with	瞎摆弄,乱搞	tamper or trifle with	phrasal	口
mess around with	胡乱摆弄	fiddle or experiment with	phrasal	口
method to my madness	疯狂之中自有章法	hidden logic in odd behavior	idiom	
mind over matter	精神战胜物质	willpower overcomes physical limits	idiom	
miss out on	错过,失去	lose the chance of	phrasal	
