tap off with	与…熟络；谈得来	make good friendly contact with	phrasal	口,英
tap up	充分利用；套近乎	make use of; strike up a friendly contact	phrasal	口,英
tape up	用胶带封好	fasten or seal with adhesive tape	phrasal	
taste of your own medicine	自食苦果；以牙还牙	be treated as badly as you treat others	idiom	
tax with	指责；归咎于	accuse or blame someone with a fault	phrasal	正
tear out	撕掉；拽出	pull something out with force	phrasal	
tell against	对…不利	work to someone's disadvantage	phrasal	正
test out	好好试验一番	test something out to check it works	phrasal	
testing the waters	投石问路；试探	try something out before committing	idiom	
that's the way the cookie crumbles	世事如此；就这样吧	that's simply how things turned out	idiom	
the apple doesn't fall far from the tree	有其父必有其子	children resemble their parents	idiom	
the apple of my eye""	掌上明珠	someone you cherish above all	idiom	
the ball is in your court	该你表态；由你定夺	it's your turn to make the decision	idiom	
the ball's in your court	主动权在你手里	the decision now rests with you	idiom	
the bee's knees""	顶呱呱；绝妙之物	something excellent (dated slang)	idiom	俚
the best of both worlds	两全其美	the advantages of both options	idiom	
the bigger picture	大局；全局	the wider overall perspective	idiom	
the bottom line	底线；归根结底	the decisive point; net profit	idiom	
the calm before the storm	暴风雨前的宁静	a quiet period before trouble	idiom	
the devil is in the details""	细节里藏着魔鬼	real difficulties lie in the details	idiom	
the devil's in the details	细节决定成败	the details are the hardest part	idiom	
the dog days of summer	三伏天；酷暑天	the hottest languid days of summer	idiom	
the elephant in the room	避而不谈的敏感难题	obvious problem nobody wants to mention	idiom	
the great outdoors	广袤大自然	wild natural areas away from towns	collocation	
the icing on the cake	锦上添花	an extra bonus atop something good	idiom	
the light at the end of the tunnel	隧道尽头的光；曙光	hope after a long difficult period	idiom	
the luck of the irish	爱尔兰式的走运	good luck credited to being Irish	idiom	
the pen is mightier than the sword	笔诛胜于剑伐	writing is stronger than violence	idiom	
the show must go on	戏必须唱下去	things must continue despite setbacks	idiom	
the sky's the limit	一切皆有可能	there are no limits to what you can do	idiom	
the tide is turning	形势正在逆转	the situation is changing in your favor	idiom	
the world is your oyster	世界任君遨游	every opportunity is open to you	idiom	
think ahead	未雨绸缪；提前打算	plan for the future in advance	collocation	
think outside the box	跳出思维定式	think creatively and unconventionally	idiom	
thread the needle	穿针引线；险中求成	navigate a dangerously narrow path	idiom	
throttle back	收油门减速	reduce speed or power	phrasal	
throttle up	加大油门加速	increase speed with the throttle	phrasal	
throw yourself at	投怀送抱；扑向	pursue someone very eagerly	phrasal	
throw yourself into	全身心投入	do something with full energy	phrasal	
thrust upon	强加于	imposed on someone by fate	phrasal	正
tick along	平稳推进；正常运转	proceed steadily without problems	phrasal	英
tick by	（时间）悄悄流逝	pass slowly, of time	phrasal	
tidy away	把…收好	put things back where they belong	phrasal	英
tidy out	清理（扔掉杂物）	clean a space by removing clutter	phrasal	英
tidy up after	给…收拾残局	clean up the mess someone else made	phrasal	
tie in with	与…吻合；相配合	fit or agree well with something	phrasal	
tie up with	与…联手；与…有关联	join with; be connected to	phrasal	
time flies when you're having fun	欢乐时光过得快	enjoyable time seems to pass quickly	idiom	
time is of the essence	时间紧迫	time is critically important	idiom	正
tiptoe around	蹑脚回避；绕着走	walk quietly; avoid something delicately	phrasal	
to cost an arm and a leg	贵得离谱；花大钱	be extremely expensive	idiom	
to hear something straight from the horse's mouth	亲耳从源头获悉	hear it from the original source	idiom	
toddle off	溜达走开（诙谐）	go away (informal, humorous)	phrasal	诙,英
tool of the trade	看家工具	equipment typical of a profession	collocation	
tootle off	开车悠然而去	drive away in a casual manner	phrasal	诙,英
top of the food chain	食物链顶端；掌权位	the highest position in a hierarchy	collocation	
toss around	随便商讨（想法）	discuss ideas informally	phrasal	美
toss aside	抛弃；丢掉	throw away; reject	phrasal	
touch for	向…借钱	borrow money from someone	phrasal	俚,英
tow away	拖走（车辆）	haul away a vehicle by tow truck	phrasal	
troll for	钓取（注意）	fish for compliments or reactions	phrasal	口
trot off	走开	go away; leave briskly	phrasal	口,英
trundle out	推出；搬出老一套	bring out something old or familiar	phrasal	英
truss up	捆紧；绑牢	tie someone or something up tightly	phrasal	
tuck into	大口吃起来	eat something eagerly	phrasal	口,英
tune in to	收听；开始关注	pay attention to something	phrasal	
turn back the clock""	时光倒流；重回过去	return to an earlier situation	idiom	
turn in on	使自我封闭	make withdrawn and self-absorbed	phrasal	
turn the page	翻篇；开启新篇	move on from the past	idiom	
turning over a new leaf	洗心革面	starting to behave better	idiom	
turning the page	走出过去	leaving the past behind	idiom	
twist of fate	命运的捉弄	an unexpected change of fortune	collocation	
twist someone's arm	软磨硬泡	strongly persuade or pressure someone	idiom	诙
type up	打字誉清	make a clean typed copy of	phrasal	
uncharted territory	未知领域	an unfamiliar situation	collocation	
urge upon	极力规劝	press advice or duty on someone	phrasal	正
use your head	动动脑子	think sensibly and practically	idiom	
venture forth	勇敢前行	go out boldly into the unknown	collocation	
visit on	降（灾祸）于	inflict something on someone	phrasal	正
wait up!	等等我；慢着	stop and wait for me!	phrasal	口,美
wake up to	认识到；醒悟到	become aware of a problem	phrasal	
walk in on	撞见（尴尬场面）	enter unexpectedly and discover	phrasal	
walk in someone else's shoes	设身处地	imagine another person's experience	idiom	
waltz off with	轻松夺走	take something away effortlessly	phrasal	
wander off	信步走神离开	go away casually or absent-mindedly	phrasal	
warm through	把…加热透	heat something thoroughly	phrasal	
wash your hands of something	对…洗手不干	refuse further involvement with	idiom	
wave down	挥手拦停	signal a vehicle or person to stop	phrasal	
wave on	挥手示意继续前进	signal someone to keep moving	phrasal	英
wave through	挥手放行	allow to pass with a wave	phrasal	
wean off	使逐渐戒除	gradually end dependence on	phrasal	
wear in	把…磨合穿软	make comfortable by wearing	phrasal	英
wear your heart on your sleeve	感情外露	show your feelings openly	idiom	
weasel out of	耍滑推脱	evade a duty through cunning	phrasal	口
weathering the storm	渡过难关	coming through a crisis	idiom	
weigh down on	压在心头；拖累	be an emotional burden on	phrasal	
weigh in on	发表看法；介入评论	give an opinion in a debate	phrasal	
wheel out	搬出老一套	bring out familiar excuses or props	phrasal	英
wheel round	猛地转身	turn around very quickly	phrasal	英
when it rains, it pours	祸不单行	bad things tend to come together	idiom	
when life gives you lemons	随遇而安	make the best of a bad situation	idiom	
whip out of	溜之大吉	leave somewhere very quickly	phrasal	口,英
whizz through	快速搞定	do something very quickly	phrasal	口,英
wiggle out of	耍滑逃避	escape a duty with excuses	phrasal	
win hands down""	轻松取胜	win very easily	idiom	
win round	说服；争取过来	change someone's mind in your favor	phrasal	英
win-win situation	双赢局面	a result good for everyone	collocation	
winner takes all	赢家通吃	only the winner gains anything	idiom	财
winnow down	层层筛选	reduce by careful selection	phrasal	
wish upon a star""	对星许愿；寄望渺茫	hope for unlikely dreams	idiom	
word up	说得对；没毛病	slang: I agree; for real	slang	俚,美
word up!	没毛病；成交	slang: expression of agreement	slang	俚,美
work around	变通解决；绕开	find a way around a problem	phrasal	
work around to	迂回谈到	approach a topic indirectly	phrasal	
