bored to death	无聊透顶	extremely bored	idiom	
born with a silver spoon	出身富贵	born into wealth	idiom	
break bread together	共进餐食；拉近关系	share a meal to bond	idiom	
break of dawn	破晓时分	the first light of day	collocation	
bright idea	好主意	a clever idea	collocation	
brighten the day	让某人心情大好	make someone happy	idiom	
bringing home the bacon	养家糊口；满载而归	provide for the family; win	idiom	
build a castle of dreams	构筑空中楼阁	build unrealistic fantasies	idiom	
build bridges	搭建沟通之桥	foster connections	idiom	
building bridges	搭建桥梁；促成沟通	building rapport	idiom	
built like a fortress	坚不可摧	extremely solid	idiom	
built like a tank	体格壮实；结实耐用	very sturdy	idiom	
bull's-eye	正中靶心	dead center of a target	idiom	
bump in the road	小挫折	a minor setback	idiom	
burn bridges	自断后路	sever future options	idiom	
burn your bridges	烧掉退路	cut off retreat	idiom	
burning bridges	搞僵关系	destroying ties	idiom	
burning the candle at both ends	日夜操劳；透支自己	overwork day and night	idiom	
burning the midnight oil	开夜车苦干	study or work late at night	idiom	
burst your bubble	泼冷水；打破幻想	dash someone's hopes	idiom	
bury your head in the sand	鸵鸟政策；逃避现实	ignore obvious problems	idiom	
busy as a beaver	忙得团团转	very busy and industrious	idiom	
busy as a bee	忙个不停	extremely busy	idiom	
butter someone up	讨好；拍马屁	flatter to gain favor	idiom	
butter wouldn't melt in their mouth	装无辜	pretend to be demure	idiom	
butterflies in your stomach	紧张得心里发怵	nervous anticipation	idiom	
buy a lemon	买到次品货	buy a defective product	idiom	
by the seat of your pants	凭直觉瞎摸	improvise without planning	idiom	
by the skin of your teeth	千钧一发；勉强成功	just barely	idiom	
calm before the storm	暴风雨前的平静	quiet before trouble	idiom	
can't hold a candle	远比不上	be far inferior	idiom	
can't hold a candle to	远远不如	nowhere near as good as	idiom	
can't judge a book by its cover	不要以貌取人	appearances can deceive	proverb	
can't see the forest for the trees	只见树木不见森林	miss the big picture	idiom	
can't stand	受不了	unable to tolerate	collocation	
carry the load	挑起重担	bear the burden	idiom	
carrying the weight	肩负重担	bearing responsibility	idiom	
castaway on a deserted island	荒岛漂流者	stranded on an island	idiom	
cat got your tongue	怎么不说话了	why so quiet (teasing)	idiom	
cat on a hot tin roof	如坐针毡	extremely restless	idiom	
cat out of the bag	秘密泄露	the secret is revealed	idiom	
catch some zs	补个觉	get some sleep	idiom	
catch your eye	吸引眼球	attract attention	idiom	
catching some z's	睡觉	getting some sleep	idiom	
caught between a rock and a hard place	进退两难	in a dilemma	idiom	
caught between two stools	两头为难	pulled between two options	idiom	
caught in a whirlwind	被卷入漩涡	swept up in turmoil	idiom	
caught in the crossfire	遭池鱼之殃	hit between two sides	idiom	
caught red-handed	人赃俱获	caught in the act	idiom	
celebrate in style	隆重庆祝	celebrate lavishly	collocation	
celebrate with joy	欢天喜地	celebrate joyfully	collocation	
champ at the bit	急不可耐	eager to start	idiom	
change in the wind	风向转变；局势变化	a shift in the situation	idiom	
change tack	改变策略	change approach	idiom	
change the world	改变世界	transform the world	collocation	
change your tune	改口；转变态度	change one's story	idiom	
chart your own course	走自己的路	set your own direction	idiom	
chase the sunrise	追逐日出	pursue beauty/dreams	idiom	
chase the sunset	追逐落日	pursue the fleeting	idiom	
chasing rainbows	追逐彩虹；做白日梦	pursuing unattainable dreams	idiom	
chasing the horizon	永不止步地追梦	relentless pursuit	idiom	
chasing the sun	逐日而去	seek light and warmth	idiom	
chasing the sunset	追逐夕阳	pursue the elusive	idiom	
chew the scenery	夸张抢戏	overact wildly	idiom	
chewing the fat	闲聊拉家常	chat idly	idiom	
chip off the old block	活脱脱父辈翻版	just like one's parent	idiom	
chip on one's shoulder	心怀不满；易怒	holding a grudge	idiom	
chip on your shoulder	心怀不满；易怒	touchy and resentful	idiom	
chomping at the bit	按捺不住想行动	impatient to act	idiom	
chuck a wobbly	发脾气	throw a tantrum	idiom	俚,英
city lights	都市灯火	city lights	collocation	
city that never sleeps	不夜城	the sleepless city	idiom	
clean as a whistle	干干净净	spotless	idiom	
clear as a bell	清脆洪亮；一清二楚	very clear	idiom	
clear as mud	一点也不清楚（反讽）	not clear at all (ironic)	idiom	
climb the corporate ladder	攀登职场阶梯	advance one's career	idiom	
climb the wall	烦躁得想撞墙	be restless/frustrated	idiom	
climbing the ladder	往上爬	advancing in career	idiom	
clip someone's wings	束缚某人的手脚	limit someone's freedom	idiom	
close but no cigar	差一点（没成功）	so close yet failed	idiom	
close the book on	结束；翻篇	put an end to	idiom	
close the door behind you	随手关门；告别过往	shut the door leaving	idiom	
cloud on the horizon	不祥的苗头	a sign of coming trouble	idiom	
clutching at straws	抓救命稻草	desperately try anything	idiom	
come out of your shell	变得外向；走出自我	become less shy	idiom	
compare apples and oranges	比较不可比之物	compare unlike things	idiom	
connect the dots	把线索串起来；融会贯通	piece things together	idiom	
cook the books	做假账；财务造假	falsify accounts	idiom	财,法
cool as a cucumber	泰然自若	very calm	idiom	
cool cat	潇洒的人	a stylish laid-back person	idiom	俚
cost a pretty penny	花一大笔钱	cost a lot	idiom	
cost an arm and a leg	贵得离谱	very expensive	idiom	
costs an arm and a leg	代价巨大	extremely costly	idiom	
count your chickens before they hatch	别高兴得太早	don't presume success	proverb	
counting the stars	异想天开	dreaming big	idiom	
crack a book	用功读书	study hard	idiom	
cream of the crop	精英中的精华	the very best	idiom	
cross my heart and hope to die	我拿命发誓	solemnly swear	idiom	
cross that bridge	到时再说	deal with it when it comes	idiom	
cross that bridge when we come to it	船到桥头自然直	deal with problems as they come	proverb	
cross that bridge when you come to it	到时候再说	one step at a time	proverb	
cross the finish line	冲过终点线	complete the goal	collocation	
cross your fingers	祈求好运	hope for luck	idiom	
cross your t's and dot your i's	一丝不苟；不遗漏细节	be meticulous	idiom	
crossing that bridge when you come to it	走一步看一步	handle it later	proverb	
crossing the rubicon	破釜沉舟；跨出不归路	pass a point of no return	idiom	
cry me a river	少装可怜（反讽）	spare me your tears	idiom	
cry over spilled milk	追悔无益	regret what can't be undone	idiom	
cry the blues	倾诉哀愁	express sorrow	idiom	
cry your heart out	痛哭一场	weep intensely	idiom	
crying over spilt milk	为往事懊悔没用	useless regret	idiom	
curiosity killed the cat	好奇害死猫	excessive curiosity is risky	proverb	
cut a rug	跳舞	dance	idiom	俚
cut to the chase	直奔主题	get to the point	idiom	
cut to the quick	深深刺痛	hurt deeply	idiom	
cutting corners	偷工减料	do things cheaply/poorly	idiom	
cutting the mustard	达标；够格	meet the standard	idiom	
dangle a carrot	抛出诱饵；画饼	offer incentive to entice	idiom	
dawn of a new day	新纪元；曙光初现	beginning of a new era	idiom	
dead as a doornail	死透了的	completely dead	idiom	
defend your beliefs	捍卫信念	stand up for beliefs	collocation	
defend your position	捍卫立场	defend one's stance	collocation	
deliver the package	交出成果	achieve the promised result	idiom	
dime a dozen	多如牛毛	common and worthless	idiom	
don't beat around the bush	别绕弯子；直说	get to the point	proverb	
don't bite the hand that feeds you	别恩将仇报	don't harm your benefactor	proverb	
don't count your chickens	别高兴太早	don't count on it yet	proverb	
don't count your chickens before they hatch	如意算盘别打太早	don't presume success	proverb	
don't cry over spilled milk	覆水难收；别懊悔了	no use regretting	proverb	
don't cry over spilt milk	别为打翻的牛奶哭	move on	proverb	
don't hold your breath	别指望；想都别想	don't expect it soon	idiom	
don't judge a book by its cover	别以貌取人	don't judge by appearances	proverb	
don't put all your eggs in one basket	别孤注一掷	don't risk everything on one bet	proverb	
don't put eggs in one basket	别把宝压一处	diversify your bets	proverb	
don't put the cart before the horse	别本末倒置	don't reverse the order	proverb	
don't rock the boat	别打乱现状	don't disturb the status quo	idiom	
don't throw in the towel	别认输	don't give up	idiom	
down for the count	被击倒；一蹶不振	knocked down; beaten	idiom	
down the hatch	一饮而尽（祝酒）	drink it all down	idiom	诙
down the rabbit hole	越陷越深；走进迷局	into a strange complex mess	idiom	
drastic times call for drastic measures	非常时期行非常之事	extreme cases need extreme action	proverb	
draw a line in the sand	划出底线	set a firm boundary	idiom	
draw first blood	先声夺人；率先出手	strike the first blow	idiom	
